Title,Views,Upload Date,Likes,Comments,Hashtags,Duration_min,Duration_Category,Trending_Hashtags_Count,Has_Trending_Hashtags,Upload_Year,Like_Ratio,Comment_Ratio,Engagement_Score,Title_Length,Title_Word_Count,Title_Has_Question
How Spring Boot Can Be A Game Changer For Your Career,34000,1 month ago,866,77,#springboot #java #backend,4.08,1-5m,0,False,2025,0.025470588235294116,0.0022647058823529412,1.386764705882353,53,11,False
Spring Boot Tutorial for Beginners [2025],119000,1 month ago,3000,202,#springboot #java #backend,71.37,60m+,0,False,2025,0.025210084033613446,0.0016974789915966387,1.345378151260504,41,6,False
You asked for it. It’s finally happening!,29000,1 month ago,1100,147,,1.25,1-5m,0,False,2025,0.03793103448275862,0.005068965517241379,2.15,41,7,False
Python Full Course for Beginners [2025],594000,2 months ago,19000,569,#Python #AI #MachineLearning #WebDevelopment,122.35,60m+,2,True,2025,0.03198653198653199,0.000957912457912458,1.6472222222222221,39,6,False
Top Programming Languages to Learn in 2025,167000,2 months ago,5100,385,#coding #programming,4.23,1-5m,0,False,2025,0.03053892215568862,0.0023053892215568863,1.6422155688622755,42,7,False
The Complete Cybersecurity Roadmap: Land a Cybersecurity Job in 10 Months,191000,2 months ago,8200,294,#cybersecurity #coding #techjobs,5.9,5-10m,0,False,2025,0.04293193717277487,0.0015392670157068063,2.223560209424084,73,11,False
From Zero to Blockchain Developer in 10 Months: Complete Roadmap,101000,3 months ago,3600,257,#blockchain #coding #techjobs,4.98,1-5m,0,False,2025,0.03564356435643564,0.0025445544554455446,1.909405940594059,64,10,False
The Best Tech Jobs for 2025: High Demand & High Pay,363000,3 months ago,9100,586,#coding #tech #techcareers,5.27,5-10m,0,False,2025,0.025068870523415977,0.0016143250688705234,1.334159779614325,51,11,False
Mosh's Christmas Gift to You!,23000,4 months ago,810,117,,1.4,1-5m,0,False,2025,0.035217391304347825,0.00508695652173913,2.015217391304348,29,5,False
Don't Miss Mosh's Black Friday Sale!,101000,4 months ago,1100,146,,2.23,1-5m,0,False,2025,0.01089108910891089,0.0014455445544554455,0.6168316831683167,36,6,False
3 Problems with AI-Generated Code,82000,4 months ago,3500,387,#ai #coding #programming,8.67,5-10m,1,True,2025,0.042682926829268296,0.004719512195121951,2.370121951219512,33,5,False
Python Projects for Beginners – Master Problem-Solving! 🚀,268000,7 months ago,7500,388,#python #pythonforbeginners #pythonprojects #pythontutorial,53.0,30-60m,0,False,2025,0.027985074626865673,0.0014477611940298507,1.471641791044776,57,8,False
The Complete DevOps Roadmap,323000,7 months ago,10000,341,#devops,8.02,5-10m,0,False,2025,0.030959752321981424,0.0010557275541795666,1.6007739938080496,27,4,False
The Complete Data Analyst Roadmap,324000,8 months ago,9800,267,#dataanalyst #datascience #machinelearning,4.13,1-5m,2,True,2025,0.030246913580246913,0.0008240740740740741,1.5535493827160494,33,5,False
The Complete Data Science Roadmap,326000,8 months ago,11000,304,#datascience #machinelearning #ai #coding #programming,6.22,5-10m,3,True,2025,0.03374233128834356,0.0009325153374233129,1.7337423312883435,33,5,False
The Complete Web Development Roadmap,462000,8 months ago,15000,503,#programming #webdevelopment #coding,15.25,10-30m,0,False,2025,0.032467532467532464,0.0010887445887445887,1.6778138528138526,36,5,False
The Complete Machine Learning Roadmap,487000,8 months ago,16000,490,#machinelearning #ai #datascience #coding #programming,5.42,5-10m,3,True,2025,0.03285420944558522,0.0010061601642710472,1.6930184804928132,37,5,False
The Complete App Development Roadmap,688000,9 months ago,18000,512,#appdevelopment #coding #programming,7.87,5-10m,0,False,2025,0.02616279069767442,0.0007441860465116279,1.3453488372093023,36,5,False
The Complete Backend Developer Roadmap,435000,10 months ago,13000,462,#programming #webdevelopment #backend #coding,8.4,5-10m,0,False,2025,0.029885057471264367,0.0010620689655172415,1.5473563218390805,38,5,False
The Complete Frontend Developer Roadmap,388000,10 months ago,14000,452,#programming #webdevelopment #frontend #coding,8.9,5-10m,0,False,2025,0.03608247422680412,0.0011649484536082474,1.8623711340206184,39,5,False
9 Reasons People Hate JavaScript,99000,10 months ago,3600,336,#javascript #programming #webdevelopment #coding,4.75,1-5m,0,False,2025,0.03636363636363636,0.003393939393939394,1.9878787878787878,32,5,False
Is Coding Still Worth Learning in 2024?,371000,11 months ago,11000,850,#coding #techinsider #ai,9.55,5-10m,1,True,2025,0.029649595687331536,0.0022911051212938004,1.597035040431267,39,7,True
Python in 2 Minutes!,78000,1 year ago,2400,103,#python #programming #ai #coding,1.98,1-5m,1,True,2024,0.03076923076923077,0.0013205128205128205,1.6044871794871796,20,4,False
The FASTEST Way to Learn to Code & Get a Job,148000,1 year ago,6700,296,#codingjourney #learntocode #leetcode #programming #coding #techinsider,5.8,5-10m,0,False,2024,0.04527027027027027,0.002,2.3635135135135137,44,11,False
Top Programming Languages to Learn in 2024 (For High-paying Jobs),503000,1 year ago,16000,1332,#coding #programming #ai,5.53,5-10m,1,True,2024,0.03180914512922465,0.0026481113320079522,1.72286282306163,65,10,False
Is Devin AI the End (or Future) of Coding?!,482000,1 year ago,8500,772,#ai #coding #programming,8.03,5-10m,1,True,2024,0.017634854771784232,0.0016016597510373444,0.9618257261410788,43,9,True
Will Devin AI Replace Coders?,213000,1 year ago,8500,792,#ai #coding #programming,4.85,1-5m,1,True,2024,0.03990610328638498,0.0037183098591549294,2.181220657276995,29,5,True
React Testing for Beginners: Start Here!,173000,1 year ago,3600,166,#react #reactjs #testing,77.23,60m+,0,False,2024,0.020809248554913295,0.0009595375722543353,1.0884393063583815,40,6,False
JavaScript Unit Testing Tutorial for Beginners,110000,1 year ago,2800,116,#javascript #testing,48.53,30-60m,0,False,2024,0.025454545454545455,0.0010545454545454545,1.3254545454545454,46,6,False
Mosh's Christmas Present to You (2023),87000,1 year ago,1400,209,,2.5,1-5m,0,False,2024,0.016091954022988506,0.002402298850574713,0.924712643678161,38,6,False
Mosh's Black Friday Sale (2023),66000,1 year ago,813,129,,1.73,1-5m,0,False,2024,0.012318181818181818,0.0019545454545454545,0.7136363636363636,31,5,False
The Most Hated React Code!,45000,1 year ago,1700,116,#nextjs #reactjs #webdevelopment,8.2,5-10m,0,False,2024,0.03777777777777778,0.002577777777777778,2.017777777777778,26,5,False
"Next.js Projects: Build a Full-stack App with Next.js, Tailwind, Radix UI, and Prisma",196000,1 year ago,4200,193,#nextjs #reactjs #webdevelopment,93.1,60m+,0,False,2024,0.02142857142857143,0.0009846938775510204,1.1206632653061224,85,13,False
Next js Tutorial for Beginners | Nextjs 13 (App Router) with TypeScript,920000,1 year ago,19000,585,#nextjs #reactjs #javascript #coding #webdevelopment,62.92,60m+,0,False,2024,0.020652173913043477,0.0006358695652173913,1.0644021739130434,71,12,False
React Tutorial for Beginners,4300000,2 years ago,76000,1700,#react #reactjs #javascript #coding,80.07,60m+,0,False,2023,0.017674418604651163,0.00039534883720930233,0.9034883720930232,28,4,False
ChatGPT Tutorial for Developers - 38 Ways to 10x Your Productivity,3500000,2 years ago,54000,1553,#chatgpt #openai #programming,28.22,10-30m,0,False,2023,0.015428571428571429,0.00044371428571428573,0.7936142857142857,66,11,False
Mosh's Xmas gift to you!,49000,2 years ago,1300,127,,1.13,1-5m,0,False,2023,0.026530612244897958,0.0025918367346938775,1.4561224489795919,24,5,False
Don't write code like John Smith!,86000,2 years ago,3300,230,,1.42,1-5m,0,False,2023,0.03837209302325582,0.002674418604651163,2.052325581395349,33,6,False
C++ Tutorial for Beginners - Learn C++ in 1 Hour,4900000,2 years ago,131000,2849,#coding #programming,82.93,60m+,0,False,2023,0.026734693877551022,0.0005814285714285714,1.3658061224489797,48,10,False
TypeScript Tutorial for Beginners,1500000,2 years ago,29000,860,#typescript #javascript #coding #programming,64.47,60m+,0,False,2023,0.019333333333333334,0.0005733333333333334,0.9953333333333333,33,4,False
Docker Compose Tutorial,489000,3 years ago,8200,430,#Docker #DevOps,33.03,30-60m,0,False,2022,0.016768916155419224,0.0008793456032719836,0.8824130879345604,23,3,False
Java Collections Tutorial,221000,3 years ago,3700,88,#Java #Java #Programming,32.37,30-60m,0,False,2022,0.0167420814479638,0.00039819004524886876,0.8570135746606335,25,3,False
Java Generics Tutorial,69000,3 years ago,1300,52,#Java #Java #Programming,18.2,10-30m,0,False,2022,0.01884057971014493,0.0007536231884057971,0.9797101449275363,22,3,False
Java Interfaces Tutorial,81000,3 years ago,1300,63,#Java #Java #Programming,15.7,10-30m,0,False,2022,0.016049382716049384,0.0007777777777777777,0.841358024691358,24,3,False
Java Exception Handling Tutorial,183000,3 years ago,2300,109,#Java #Java #Programming,23.05,10-30m,0,False,2022,0.012568306010928962,0.0005956284153005464,0.6581967213114754,32,4,False
Mosh's New Year's Gift to You!,56000,3 years ago,1400,157,,0.78,<1m,0,False,2022,0.025,0.0028035714285714287,1.3901785714285715,30,6,False
Mosh's Xmas Gift (2021),82000,3 years ago,2800,314,,1.22,1-5m,0,False,2022,0.03414634146341464,0.0038292682926829268,1.8987804878048782,23,4,False
50% Off Black Friday Sale,105000,3 years ago,2800,285,,0.87,<1m,0,False,2022,0.02666666666666667,0.0027142857142857142,1.4690476190476192,25,5,False
Django Tutorial for Beginners – Build Powerful Backends,2900000,3 years ago,50000,2190,#django #python #webdevelopment #backend #coding,62.6,60m+,0,False,2022,0.017241379310344827,0.0007551724137931034,0.8998275862068965,55,8,False
Docker Tutorial for Beginners,2800000,4 years ago,47000,1409,#docker #devops #softwaredevelopment #careergrowth,56.07,30-60m,0,False,2021,0.016785714285714286,0.0005032142857142858,0.8644464285714286,29,4,False
Docker course is coming!,46000,4 years ago,2000,220,,0.82,<1m,0,False,2021,0.043478260869565216,0.004782608695652174,2.4130434782608696,24,4,False
